Bigrammes :
('Mathématicien', 'CLÉON'): 1 
('CLÉON', 'Ier—'): 1 
('Ier—', '...'): 1 
('...', 'dernier'): 1 
('dernier', 'Empereur'): 1 
('Empereur', 'galactique'): 1 
('galactique', 'de'): 1 
('de', 'la'): 12 
('la', 'dynastie'): 1 
('dynastie', 'Entun.'): 1 
('Entun.', 'Né'): 1 
('Né', 'en'): 1 
('en', 'l’an'): 1 
('l’an', '11988'): 1 
('11988', 'de'): 1 
('de', 'l’Ère'): 1 
('l’Ère', 'Galactique,'): 1 
('Galactique,', 'la'): 1 
('la', 'même'): 1 
('même', 'année'): 1 
('année', 'que'): 1 
('que', 'Hari'): 1 
('Hari', 'Seldon.'): 1 
('Seldon.', '(On'): 1 
('(On', 'pense'): 1 
('pense', 'que'): 1 
('que', 'la'): 3 
('la', 'date'): 1 
('date', 'de'): 1 
('de', 'naissance'): 1 
('naissance', 'de'): 1 
('de', 'Seldon,'): 1 
('Seldon,', 'que'): 1 
('que', 'certains'): 1 
('certains', 'estiment'): 1 
('estiment', 'douteuse,'): 1 
('douteuse,', 'aurait'): 1 
('aurait', 'pu'): 2 
('pu', 'être'): 1 
('être', '«'): 1 
('«', 'ajustée'): 1 
('ajustée', '»'): 1 
('»', 'pour'): 1 
('pour', 'coïncider'): 1 
('coïncider', 'avec'): 1 
('avec', 'celle'): 1 
('celle', 'de'): 1 
('de', 'Cléon'): 1 
('Cléon', 'que'): 1 
('que', 'Seldon,'): 1 
('Seldon,', 'peu'): 1 
('peu', 'après'): 1 
('après', 'son'): 1 
('son', 'arrivée'): 1 
('arrivée', 'sur'): 1 
('sur', 'Trantor,'): 1 
('Trantor,', 'est'): 1 
('est', 'censé'): 1 
('censé', 'avoir'): 1 
('avoir', 'rencontré.)'): 1 
('rencontré.)', 'Cléon'): 1 
('Cléon', 'est'): 1 
('est', 'monté'): 1 
('monté', 'sur'): 1 
('sur', 'le'): 2 
('le', 'trône'): 1 
('trône', 'impérial'): 1 
('impérial', 'en'): 1 
('en', '12010,'): 1 
('12010,', 'à'): 1 
('à', 'l’âge'): 1 
('l’âge', 'de'): 1 
('de', 'vingt-deux'): 1 
('vingt-deux', 'ans,'): 1 
('ans,', 'et'): 1 
('et', 'son'): 1 
('son', 'règne'): 1 
('règne', 'représente'): 1 
('représente', 'un'): 1 
('un', 'étrange'): 1 
('étrange', 'intervalle'): 1 
('intervalle', 'de'): 1 
('de', 'calme'): 1 
('calme', 'dans'): 1 
('dans', 'ces'): 1 
('ces', 'temps'): 1 
('temps', 'troublés.'): 1 
('troublés.', 'Cela'): 1 
('Cela', 'est'): 1 
('est', 'dû'): 1 
('dû', 'sans'): 1 
('sans', 'aucun'): 1 
('aucun', 'doute'): 2 
('doute', 'aux'): 1 
('aux', 'talents'): 1 
