ID,graphml
paf0,"<graphml xmlns=""http://graphml.graphdrawing.org/xmlns"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xsi:schemaLocation=""http://graphml.graphdrawing.org/xmlns http://graphml.graphdrawing.org/xmlns/1.0/graphml.xsd"">  <graph edgedefault=""undirected"" /></graphml>"
paf1,"<graphml xmlns=""http://graphml.graphdrawing.org/xmlns"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xsi:schemaLocation=""http://graphml.graphdrawing.org/xmlns http://graphml.graphdrawing.org/xmlns/1.0/graphml.xsd"">  <key id=""d0"" for=""node"" attr.name=""names"" attr.type=""string"" />  <graph edgedefault=""undirected"">    <node id=""Sire"">      <data key=""d0"">Sire</data>    </node>    <node id=""Demerzel"">      <data key=""d0"">Demerzel</data>    </node>    <node id=""Wellis"">      <data key=""d0"">Wellis;Lieutenant Alban Wellis</data>    </node>    <node id=""Eto Demerzel"">      <data key=""d0"">Eto Demerzel;Demerzel</data>    </node>    <node id=""Hummin"">      <data key=""d0"">Hummin</data>    </node>    <node id=""Hari Seldon"">      <data key=""d0"">Hari Seldon;Seldon</data>    </node>    <node id=""Cl&#233;on"">      <data key=""d0"">Cl&#233;on</data>    </node>    <node id=""Empereur galactique"">      <data key=""d0"">Empereur galactique</data>    </node>    <node id=""CL&#201;ON"">      <data key=""d0"">CL&#201;ON;Cl&#233;on</data>    </node>    <edge source=""Sire"" target=""Demerzel"" />    <edge source=""Sire"" target=""Wellis"" />    <edge source=""Sire"" target=""Eto Demerzel"" />    <edge source=""Eto Demerzel"" target=""Hummin"" />    <edge source=""Hummin"" target=""Empereur galactique"" />    <edge source=""Hari Seldon"" target=""Cl&#233;on"" />    <edge source=""Empereur galactique"" target=""CL&#201;ON"" />  </graph></graphml>"
paf2,"<graphml xmlns=""http://graphml.graphdrawing.org/xmlns"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xsi:schemaLocation=""http://graphml.graphdrawing.org/xmlns http://graphml.graphdrawing.org/xmlns/1.0/graphml.xsd"">  <key id=""d0"" for=""node"" attr.name=""names"" attr.type=""string"" />  <graph edgedefault=""undirected"">    <node id=""Alem"">      <data key=""d0"">Alem</data>    </node>    <node id=""Cl&#233;on Ier"">      <data key=""d0"">Cl&#233;on Ier</data>    </node>    <node id=""Hari Seldon"">      <data key=""d0"">Hari Seldon;Seldon</data>    </node>    <node id=""Hummin"">      <data key=""d0"">Hummin</data>    </node>    <node id=""Marbie"">      <data key=""d0"">Marbie</data>    </node>    <node id=""Seldon"">      <data key=""d0"">Seldon</data>    </node>    <node id=""H&#233;licon"">      <data key=""d0"">H&#233;licon</data>    </node>    <node id=""Anacr&#233;on"">      <data key=""d0"">Anacr&#233;on</data>    </node>    <node id=""Demerzel"">      <data key=""d0"">Demerzel</data>    </node>    <edge source=""Alem"" target=""Cl&#233;on Ier"" />    <edge source=""Cl&#233;on Ier"" target=""Marbie"" />    <edge source=""Cl&#233;on Ier"" target=""H&#233;licon"" />    <edge source=""Hari Seldon"" target=""Hummin"" />    <edge source=""Hummin"" target=""Seldon"" />  </graph></graphml>"
paf3,"<graphml xmlns=""http://graphml.graphdrawing.org/xmlns"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xsi:schemaLocation=""http://graphml.graphdrawing.org/xmlns http://graphml.graphdrawing.org/xmlns/1.0/graphml.xsd"">  <key id=""d0"" for=""node"" attr.name=""names"" attr.type=""string"" />  <graph edgedefault=""undirected"">    <node id=""Hari Seldon"">      <data key=""d0"">Hari Seldon;Seldon</data>    </node>    <node id=""Hummin"">      <data key=""d0"">Hummin</data>    </node>    <node id=""Chetter Hummin"">      <data key=""d0"">Chetter Hummin;Hummin</data>    </node>    <node id=""Seldon"">      <data key=""d0"">Seldon</data>    </node>    <node id=""Demerzel"">      <data key=""d0"">Demerzel</data>    </node>    <node id=""H&#233;licon"">      <data key=""d0"">H&#233;licon</data>    </node>    <edge source=""Hari Seldon"" target=""Hummin"" />    <edge source=""Chetter Hummin"" target=""Seldon"" />  </graph></graphml>"
paf4,"<graphml xmlns=""http://graphml.graphdrawing.org/xmlns"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xsi:schemaLocation=""http://graphml.graphdrawing.org/xmlns http://graphml.graphdrawing.org/xmlns/1.0/graphml.xsd"">  <key id=""d0"" for=""node"" attr.name=""names"" attr.type=""string"" />  <graph edgedefault=""undirected"">    <node id=""Sire"">      <data key=""d0"">Sire</data>    </node>    <node id=""Demerzel"">      <data key=""d0"">Demerzel</data>    </node>    <node id=""Dors"">      <data key=""d0"">Dors;Dors Venabili;Venabili</data>    </node>    <node id=""Chetter Hummin"">      <data key=""d0"">Chetter Hummin</data>    </node>    <node id=""Hari"">      <data key=""d0"">Hari</data>    </node>    <node id=""Cinna"">      <data key=""d0"">Cinna</data>    </node>    <node id=""Venabili"">      <data key=""d0"">Venabili</data>    </node>    <node id=""Jennisek"">      <data key=""d0"">Jennisek</data>    </node>    <node id=""Hari Seldon"">      <data key=""d0"">Hari Seldon;Hari;Seldon</data>    </node>    <node id=""Chetter"">      <data key=""d0"">Chetter</data>    </node>    <node id=""Cl&#233;on"">      <data key=""d0"">Cl&#233;on</data>    </node>    <node id=""H&#233;licon"">      <data key=""d0"">H&#233;licon</data>    </node>    <node id=""Seldon"">      <data key=""d0"">Seldon</data>    </node>    <node id=""Hummin"">      <data key=""d0"">Hummin;Chetter;Chetter Hummin</data>    </node>    <node id=""Dors Venabili"">      <data key=""d0"">Dors Venabili</data>    </node>    <edge source=""Sire"" target=""Demerzel"" />    <edge source=""Demerzel"" target=""Cl&#233;on"" />    <edge source=""Dors"" target=""Chetter Hummin"" />    <edge source=""Dors"" target=""Hari"" />    <edge source=""Cinna"" target=""Venabili"" />    <edge source=""Venabili"" target=""Jennisek"" />    <edge source=""Venabili"" target=""Hari Seldon"" />    <edge source=""Hari Seldon"" target=""Chetter"" />    <edge source=""H&#233;licon"" target=""Seldon"" />    <edge source=""Seldon"" target=""Hummin"" />    <edge source=""Hummin"" target=""Dors Venabili"" />  </graph></graphml>"
paf5,"<graphml xmlns=""http://graphml.graphdrawing.org/xmlns"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xsi:schemaLocation=""http://graphml.graphdrawing.org/xmlns http://graphml.graphdrawing.org/xmlns/1.0/graphml.xsd"">  <key id=""d0"" for=""node"" attr.name=""names"" attr.type=""string"" />  <graph edgedefault=""undirected"">    <node id=""Lisung Randa"">      <data key=""d0"">Lisung Randa;Kiangtow Randa;Randa</data>    </node>    <node id=""Seldon"">      <data key=""d0"">Seldon</data>    </node>    <node id=""Dors"">      <data key=""d0"">Dors;Dors Venabili</data>    </node>    <node id=""H&#233;licon"">      <data key=""d0"">H&#233;licon</data>    </node>    <node id=""Jenarr Leggen"">      <data key=""d0"">Jenarr Leggen;docteur Leggen;Leggen</data>    </node>    <node id=""Lisung"">      <data key=""d0"">Lisung</data>    </node>    <node id=""Hari Seldon"">      <data key=""d0"">Hari Seldon;Hari;Seldon</data>    </node>    <node id=""Clowzia"">      <data key=""d0"">Clowzia</data>    </node>    <node id=""Hummin"">      <data key=""d0"">Hummin</data>    </node>    <edge source=""Lisung Randa"" target=""Seldon"" />    <edge source=""Seldon"" target=""H&#233;licon"" />    <edge source=""Dors"" target=""H&#233;licon"" />    <edge source=""H&#233;licon"" target=""Hari Seldon"" />    <edge source=""Jenarr Leggen"" target=""Lisung"" />  </graph></graphml>"
paf6,"<graphml xmlns=""http://graphml.graphdrawing.org/xmlns"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xsi:schemaLocation=""http://graphml.graphdrawing.org/xmlns http://graphml.graphdrawing.org/xmlns/1.0/graphml.xsd"">  <key id=""d0"" for=""node"" attr.name=""names"" attr.type=""string"" />  <graph edgedefault=""undirected"">    <node id=""Jenarr"">      <data key=""d0"">Jenarr;Jenarr Leggen;Leggen</data>    </node>    <node id=""Benastra"">      <data key=""d0"">Benastra</data>    </node>    <node id=""Dors Venabili"">      <data key=""d0"">Dors Venabili</data>    </node>    <node id=""Dors"">      <data key=""d0"">Dors;Dors Venabili</data>    </node>    <node id=""Hari Seldon"">      <data key=""d0"">Hari Seldon;Hari;Seldon</data>    </node>    <node id=""Clowzia"">      <data key=""d0"">Clowzia</data>    </node>    <edge source=""Jenarr"" target=""Benastra"" />    <edge source=""Jenarr"" target=""Dors Venabili"" />    <edge source=""Benastra"" target=""Dors"" />    <edge source=""Benastra"" target=""Hari Seldon"" />    <edge source=""Benastra"" target=""Dors Venabili"" />    <edge source=""Dors Venabili"" target=""Dors"" />    <edge source=""Dors Venabili"" target=""Hari Seldon"" />  </graph></graphml>"
paf7,"<graphml xmlns=""http://graphml.graphdrawing.org/xmlns"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xsi:schemaLocation=""http://graphml.graphdrawing.org/xmlns http://graphml.graphdrawing.org/xmlns/1.0/graphml.xsd"">  <key id=""d0"" for=""node"" attr.name=""names"" attr.type=""string"" />  <graph edgedefault=""undirected"">    <node id=""Streeling"">      <data key=""d0"">Streeling</data>    </node>    <node id=""Primo"">      <data key=""d0"">Primo</data>    </node>    <node id=""Dors"">      <data key=""d0"">Dors;Dors Venabili</data>    </node>    <node id=""Hummin"">      <data key=""d0"">Hummin</data>    </node>    <node id=""Randa"">      <data key=""d0"">Randa</data>    </node>    <node id=""Cinna"">      <data key=""d0"">Cinna</data>    </node>    <node id=""docteur Leggen"">      <data key=""d0"">docteur Leggen;Leggen</data>    </node>    <node id=""Eto Demerzel"">      <data key=""d0"">Eto Demerzel;Demerzel</data>    </node>    <node id=""Maire de Kan"">      <data key=""d0"">Maire de Kan</data>    </node>    <node id=""Seldon"">      <data key=""d0"">Seldon</data>    </node>    <node id=""Hari Seldon"">      <data key=""d0"">Hari Seldon;Hari;Seldon</data>    </node>    <node id=""Cl&#233;on"">      <data key=""d0"">Cl&#233;on</data>    </node>    <node id=""E.G."">      <data key=""d0"">E.G.</data>    </node>    <edge source=""Streeling"" target=""Primo"" />    <edge source=""Primo"" target=""Eto Demerzel"" />    <edge source=""Primo"" target=""Maire de Kan"" />    <edge source=""Primo"" target=""docteur Leggen"" />    <edge source=""Primo"" target=""Hari Seldon"" />    <edge source=""Primo"" target=""Hummin"" />    <edge source=""Dors"" target=""Hummin"" />    <edge source=""Hummin"" target=""Randa"" />    <edge source=""Cinna"" target=""docteur Leggen"" />    <edge source=""docteur Leggen"" target=""Seldon"" />    <edge source=""Eto Demerzel"" target=""Maire de Kan"" />    <edge source=""Maire de Kan"" target=""Hari Seldon"" />    <edge source=""Maire de Kan"" target=""Cl&#233;on"" />  </graph></graphml>"
paf8,"<graphml xmlns=""http://graphml.graphdrawing.org/xmlns"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xsi:schemaLocation=""http://graphml.graphdrawing.org/xmlns http://graphml.graphdrawing.org/xmlns/1.0/graphml.xsd"">  <key id=""d0"" for=""node"" attr.name=""names"" attr.type=""string"" />  <graph edgedefault=""undirected"">    <node id=""Levanian"">      <data key=""d0"">Levanian;Endor Levanian</data>    </node>    <node id=""H&#233;licon"">      <data key=""d0"">H&#233;licon</data>    </node>    <node id=""Dors"">      <data key=""d0"">Dors;Dors Venabili</data>    </node>    <node id=""Mycog&#233;nien"">      <data key=""d0"">Mycog&#233;nien</data>    </node>    <node id=""Cinna"">      <data key=""d0"">Cinna</data>    </node>    <node id=""Ma&#238;tre-du-Soleil"">      <data key=""d0"">Ma&#238;tre-du-Soleil</data>    </node>    <node id=""Grisnuage"">      <data key=""d0"">Grisnuage</data>    </node>    <node id=""Goutte-de-Pluie"">      <data key=""d0"">Goutte-de-Pluie</data>    </node>    <node id=""Hari Seldon"">      <data key=""d0"">Hari Seldon;Hari;Seldon</data>    </node>    <node id=""Hummin"">      <data key=""d0"">Hummin</data>    </node>    <node id=""Clowzia"">      <data key=""d0"">Clowzia</data>    </node>    <node id=""Chetter Hummin"">      <data key=""d0"">Chetter Hummin;Hummin</data>    </node>    <edge source=""Levanian"" target=""H&#233;licon"" />    <edge source=""H&#233;licon"" target=""Cinna"" />    <edge source=""H&#233;licon"" target=""Hari Seldon"" />    <edge source=""H&#233;licon"" target=""Clowzia"" />    <edge source=""H&#233;licon"" target=""Chetter Hummin"" />    <edge source=""H&#233;licon"" target=""Grisnuage"" />    <edge source=""Dors"" target=""Mycog&#233;nien"" />    <edge source=""Mycog&#233;nien"" target=""Hummin"" />    <edge source=""Ma&#238;tre-du-Soleil"" target=""Grisnuage"" />    <edge source=""Grisnuage"" target=""Goutte-de-Pluie"" />    <edge source=""Goutte-de-Pluie"" target=""Hari Seldon"" />  </graph></graphml>"
paf9,"<graphml xmlns=""http://graphml.graphdrawing.org/xmlns"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xsi:schemaLocation=""http://graphml.graphdrawing.org/xmlns http://graphml.graphdrawing.org/xmlns/1.0/graphml.xsd"">  <key id=""d0"" for=""node"" attr.name=""names"" attr.type=""string"" />  <graph edgedefault=""undirected"">    <node id=""Le Fr&#232;re"">      <data key=""d0"">Le Fr&#232;re</data>    </node>    <node id=""Fr&#232;re et chaque S&#339;ur"">      <data key=""d0"">Fr&#232;re et chaque S&#339;ur</data>    </node>    <node id=""F- Fr&#232;re"">      <data key=""d0"">F- Fr&#232;re</data>    </node>    <node id=""Goutte"">      <data key=""d0"">Goutte;de-Pluie;Goutte-de-Pluie</data>    </node>    <node id=""H&#233;licon"">      <data key=""d0"">H&#233;licon</data>    </node>    <node id=""Hari Seldon"">      <data key=""d0"">Hari Seldon;Hari;Seldon</data>    </node>    <node id=""Dors"">      <data key=""d0"">Dors</data>    </node>    <node id=""Chetter Hummin"">      <data key=""d0"">Chetter Hummin;Hummin</data>    </node>    <node id=""Hummin"">      <data key=""d0"">Hummin</data>    </node>    <node id=""Grisnuage"">      <data key=""d0"">Grisnuage</data>    </node>    <edge source=""Le Fr&#232;re"" target=""Fr&#232;re et chaque S&#339;ur"" />    <edge source=""Fr&#232;re et chaque S&#339;ur"" target=""F- Fr&#232;re"" />    <edge source=""Fr&#232;re et chaque S&#339;ur"" target=""Goutte"" />    <edge source=""Fr&#232;re et chaque S&#339;ur"" target=""Hari Seldon"" />    <edge source=""Fr&#232;re et chaque S&#339;ur"" target=""Dors"" />    <edge source=""Fr&#232;re et chaque S&#339;ur"" target=""Chetter Hummin"" />    <edge source=""Fr&#232;re et chaque S&#339;ur"" target=""Hummin"" />    <edge source=""Goutte"" target=""H&#233;licon"" />    <edge source=""H&#233;licon"" target=""Hari Seldon"" />    <edge source=""H&#233;licon"" target=""Chetter Hummin"" />    <edge source=""H&#233;licon"" target=""Hummin"" />  </graph></graphml>"
